id,title,topic_name,category_name,,,,,,,,,,,,,,,,,,,,,,,
1,Problem about the nni k8s service,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
2,Enable  Search in all of SDK documention  instead of  All Azure ,Documentation,Support,,,,,,,,,,,,,,,,,,,,,,,
3,[bug] The error message is empty when failed to create kubeflow config.,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
4,Investigate and fix the logger.debug issue on Kubeflow mode with AKS/AzureFileStorage,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
5,package starting with  python*  will fail to be loaded. ,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
6,dead link,Execution,Environment,,,,,,,,,,,,,,,,,,,,,,,
7,Cannot read TabularDataset -  DatasetExecutionError,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
8,Markup gone bad,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
9,leading slashes in subdir paths,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
10,Link does not work at the en of page...,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
11,"There is no links for Event, Metric",Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
12,Broken link in amlsamples,Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
13,Build_local() section typo,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
14,Incorrect example code,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
15,compute_target arguemnt doesn t exist?,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
16,Named package extras do not exist,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
17,use argparse or @click.option instead of sys.argv results in error,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
18,MLFlow doesn t save model artifact and some plots - Clustering,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
19,score.py script missing in tutorials/quickstart,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
20,The markdown and HTML code differ in terms of having the environment word be follow by - instead of : when being used at the beginning of a - ,Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
21,azureml-defaults not described ,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
22,search results do not appear,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
23,DockerSection Class remarks section has a code sample that uses things that are deprecated,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
24,Incorrectly documented parameters for method `Run.upload_folder`,Documentation,Support,,,,,,,,,,,,,,,,,,,,,,,
25,"AutoML Python SDK, Beginning Model Selection doesn t work.  Iteration times out. ",Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
26,This page has a link for MountContext that goes to a 404 page,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
27,Model Registering with managed application failing with all the Authentication,Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
28,Run number high in newly created experiment,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
29, ClientRequestError  when trying to use Azure Computer Vision API from Azure Machine Learning Notebook,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
30,How to copy files into  docker image while deploying ml model using azure ml model deploy command,Model management,Model,,,,,,,,,,,,,,,,,,,,,,,
31,please add current python version constraints,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
32,Warning while loading the azureml.core,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
33,TrainingOutput with OutputFileDatasetConfig (how to retrieve best HyperDriveStep run),Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
34,I use run.upload_file to upload a file to file share datastore but failed,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
35,Bad link (404) in TOC pointing to  CLI Reference  (erroneous localization text),Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
36,Broken Return type link for service_context,Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
37, User program failed with OSError: [Errno 30] Read-only file system,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
38,pip install `azureml-core` fails on `ruamel.yaml`,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
39,Segmentation fault (core dumped) while running a python script via terminal.,Execution,Environment,,,,,,,,,,,,,,,,,,,,,,,
40,LocalWebservice exposing wrong port,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
41,Identity Based Access No longer works (with Azure SQL DB datastore) in V1.33 of Azure ML SDK,Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
42,Pandas dataframes with array column values are not correctly persisted as AzureML datasets,Model training,Model,,,,,,,,,,,,,,,,,,,,,,,
43,Unable to open R locfit package in Azure Machine Learning,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
44,WARNING:root:user_name does not exist. (Reinforcement Learning in particle environment),Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
45,Leaking mlflow dependency,Model management,Model,,,,,,,,,,,,,,,,,,,,,,,
46,[BUG] some types plot types are not getting saved to the MLFlow experiment artifacts dir,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
47,[BUG] Issue with Mlflow Timeseries_beta branch,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
48,Kubeflow setup,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
49,MlflowCatalog anonymous function is not registered ,Model management,Model,,,,,,,,,,,,,,,,,,,,,,,
50,Can not create model in MLflowCatalog,Model management,Model,,,,,,,,,,,,,,,,,,,,,,,
51,[BUG] Undefined function when running ML_PREDICT with a re-connected jdbc connection,Connection,Support,,,,,,,,,,,,,,,,,,,,,,,
52,Permission denied when log models to mlflow on Mac,Execution,Environment,,,,,,,,,,,,,,,,,,,,,,,
53,Change mlflow log_model to take in new ModelSpec,Configuration,Environment,,,,,,,,,,,,,,,,,,,,,,,
54,[BUG] mlflow ui never runs,Configuration,Environment,,,,,,,,,,,,,,,,,,,,,,,
